"PCODE3","instability_DA06","deprivation_DA06","dependency_DA06","ethniccon_DA06","DAPop_2006","instability_q_DA06","deprivation_q_DA06","dependency_q_DA06","Ethniccon_q_DA06"
"N5Y","0.721715197910820300205701796677","0.272591293108248813250924051040","-0.347951101537226818959920290554","0.395989590316063411365024266384","31113","3","3","1","2"
"N5Z","0.216377661011578635116650687120","0.544139456968570984391978267817","-0.277060533730536917532758069671","0.117669606766665846176893576222","25032","2","4","1","2"
"N6A","2.068879688500814694985417254681","-0.774909166990215694883620284128","0.119652300021411920349985887666","-0.207445727556254157258443879951","10629","4","2","2","1"
"N6B","2.355686488937960402191507906861","0.602822190908510116473664549869","-0.375549381008871474785207321629","-0.101022111861749609450877848338","8031","5","4","1","1"
"N6C","0.662265480450550829508682269586","-0.335297130553206730832220221848","-0.174379001695249713020500609792","-0.158080051229063927112492014635","34438","3","3","2","1"
"N6E","-0.238435340504567404575831969449","0.022647418416902183742498636116","-0.494324678330395373192853246045","0.682997460926119874734042553191","29328","2","3","1","2"
"N6G","-0.347240770142904583691708103749","-0.577444640726764588916140303723","-0.406880314391547125630291627469","0.545847027312930405560408547238","29764","2","2","1","2"
"N6H","0.458135261422266901636108989050","-0.642169954106785462544563279857","0.594010683811809515807231983703","0.083031356200462179570919276802","31416","3","2","2","2"
"N6J","0.590131075680913257585716221710","0.120452667604087987179834665944","0.073943791938674739712698197588","0.516785512544268004143515381488","29516","3","3","2","2"
"N6K","-0.404643192500598917754161429170","-0.940088756708132143815183026702","0.154898495798086323208776139870","-0.160458883002024489947815487754","26253","2","2","2","1"
"N6L","-0.815361348628374000000000000000","0.122708486132344000000000000000","-0.012129044307074000000000000000","-0.986963463605667000000000000000","376","1","3","2","1"
"N6M","-0.880980135914131208306709265176","-1.044242272266972397444089456869","-0.310239701165549305111821086262","0.220436849502688874760383386581","3130","1","2","1","2"
"N6P","-0.687981130542360919760479041916","-1.049965327294270572372496386537","-0.069473296269515959529217427215","-0.448090968289873791079909147223","4843","1","2","2","1"
"N7A","0.021755575519420890111435117684","-0.197771938146902897052697354718","0.960308239149726844344928139971","-0.743830103893222053259737554676","9602","2","3","3","1"
"N7G","-0.362460977641024591703257094174","-0.181181919624596670443672586670","0.259274026770903008080477095485","-0.488727612018296348699128383249","15259","2","3","2","1"
"N7L","0.244437811981628336395375901932","0.131187137673102255368919233455","0.391163529468686450151291799209","-0.319748721262013035604003413764","25778","2","3","2","1"
"N7M","0.028363754580170611507734988480","0.408846532394057638326985470447","0.092454413397531000393567498942","-0.332314495648906495509474773123","21267","2","4","2","1"
"N7S","-0.241638062256318288570516684989","-0.244247298374647955743111457853","0.056461087922592160778751019540","-0.333529774409484418724068229370","28199","2","3","2","1"
"N7T","0.726741332709168261732432126270","0.476057606225458251930294906166","0.382951472617233804341653135974","-0.472650022890620215519389797228","26483","3","4","2","1"
"N7V","-0.027511832640886395792964999564","-0.449903268057935527363184079602","0.985908464896316699048616566291","-0.803850336382943096447586628262","11457","2","3","3","1"
